VI ; Live Tournaments Last 6 Months ; 83 ; Vintage Quarantine Bonanza ; 25592 ; Sat May 02 2020
VI ; All decks ; 14 ; Vintage Quarantine Bonanza ; 25592 ; Sat May 02 2020
VI ; All decks ; 14 ; MTGO Vintage Challenge ; 25449 ; Sun Apr 26 2020
VI ; All decks ; 14 ; Hacks FNM @ Charlotte, NC ; 25407 ; Fri Apr 24 2020
VI ; All decks ; 14 ; MTGO Vintage Challenge ; 25314 ; Sun Apr 19 2020
VI ; All decks ; 14 ; Weekly Online 1 ; 25470 ; Sat Apr 18 2020
VI ; All decks ; 14 ; MTGO Vintage Challenge ; 25180 ; Sun Apr 12 2020
VI ; All decks ; 14 ; MTGO Vintage League ; 25182 ; Sun Apr 12 2020
VI ; All decks ; 14 ; MTGO Vintage Challenge ; 25121 ; Sun Apr 05 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25684 ; Sun May 10 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25566 ; Sun May 03 2020
VI ; All Major Events decks (50+ players) ; 40 ; Vintage Quarantine Bonanza ; 25592 ; Sat May 02 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25449 ; Sun Apr 26 2020
VI ; All Major Events decks (50+ players) ; 40 ; Hacks FNM @ Charlotte, NC ; 25407 ; Fri Apr 24 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25314 ; Sun Apr 19 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25180 ; Sun Apr 12 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Challenge ; 25121 ; Sun Apr 05 2020
VI ; All Major Events decks (50+ players) ; 40 ; MTGO Vintage Preliminary ; 25031 ; Mon Mar 23 2020
VI ; All Major Events decks (50+ players) ; 40 ; God of Vintage @ Hareruya (Japan) ; 25052 ; Sun Mar 22 2020
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 18027 ; Sat Dec 30 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 18176 ; Fri Dec 29 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17960 ; Wed Dec 27 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17959 ; Tue Dec 26 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; TAV Moxing Day Vintage ; 18002 ; Tue Dec 26 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17958 ; Mon Dec 25 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17957 ; Sun Dec 24 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Vintage Challenge ; 18066 ; Sun Dec 24 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17943 ; Sat Dec 23 2017
VI ; All 2015, 2016 & 2017 decks ; 148 ; MTGO Competitive Vintage League ; 17929 ; Wed Dec 20 2017
EDH ; Last Month ; 115 ; Commander League S1 Bronze ; 25697 ; Fri May 15 2020
EDH ; Last Month ; 115 ; Commander League S1 Gold ; 25698 ; Fri May 15 2020
EDH ; Last Month ; 115 ; Commander League S1 Silver ; 25699 ; Fri May 15 2020
EDH ; Last Month ; 115 ; 3rd Xmage Quarantine League @ Leipzig ; 25696 ; Thu May 14 2020
EDH ; Last Month ; 115 ; Event Cockatrice #5 @ France ; 25695 ; Wed May 13 2020
EDH ; Last Month ; 115 ; Event Cockatrice #4 @ France ; 25622 ; Fri May 08 2020
EDH ; Last Month ; 115 ; NanJing Chicken-Pie Cup @ Fanyun Store (NanJing, China) ; 25541 ; Sat May 02 2020
EDH ; Last Month ; 115 ; 2nd Xmage Quarantine League @ Leipzig ; 25418 ; Sun Apr 26 2020
EDH ; Last Month ; 115 ; 101st "New Year Cake" Cup @ Shanghai (China) ; 25437 ; Sat Apr 25 2020
EDH ; Last Month ; 115 ; Combat COVID-19 Boredom FNM #6 @ Online ; 25450 ; Fri Apr 24 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer League ; 25694 ; Thu May 14 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer Preliminary ; 25702 ; Wed May 13 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer League ; 25670 ; Mon May 11 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer Challenge ; 25686 ; Mon May 11 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer League ; 25611 ; Thu May 07 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer Super Qualifier ; 25623 ; Thu May 07 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer League ; 25568 ; Mon May 04 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer Challenge ; 25570 ; Mon May 04 2020
PI ; Last 2 Months ; 193 ; Lotus Box League Season 1: 1K @ Team Lotus Box ; 25582 ; Sun May 03 2020
PI ; Last 2 Months ; 193 ; MTGO Pioneer League ; 25496 ; Thu Apr 30 2020
EDH ; Last 12 Months ; 209 ; Commander League S1 Bronze ; 25697 ; Fri May 15 2020
EDH ; Last 12 Months ; 209 ; Commander League S1 Gold ; 25698 ; Fri May 15 2020
EDH ; Last 12 Months ; 209 ; Commander League S1 Silver ; 25699 ; Fri May 15 2020
EDH ; Last 12 Months ; 209 ; 3rd Xmage Quarantine League @ Leipzig ; 25696 ; Thu May 14 2020
EDH ; Last 12 Months ; 209 ; Event Cockatrice #5 @ France ; 25695 ; Wed May 13 2020
EDH ; Last 12 Months ; 209 ; Event Cockatrice #4 @ France ; 25622 ; Fri May 08 2020
EDH ; Last 12 Months ; 209 ; NanJing Chicken-Pie Cup @ Fanyun Store (NanJing, China) ; 25541 ; Sat May 02 2020
EDH ; Last 12 Months ; 209 ; 2nd Xmage Quarantine League @ Leipzig ; 25418 ; Sun Apr 26 2020
EDH ; Last 12 Months ; 209 ; 101st "New Year Cake" Cup @ Shanghai (China) ; 25437 ; Sat Apr 25 2020
EDH ; Last 12 Months ; 209 ; Combat COVID-19 Boredom FNM #6 @ Online ; 25450 ; Fri Apr 24 2020
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage Preliminary ; 24161 ; Mon Dec 30 2019
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage Challenge ; 24152 ; Sun Dec 29 2019
VI ; All 2018 & 2019 Decks ; 167 ; Emperor of Vintage Tournament 2nd Season @ Hareruya (Japan) ; 24162 ; Sun Dec 29 2019
VI ; All 2018 & 2019 Decks ; 167 ; Eternal Weekend  @ Magic Bazar (France) ; 24120 ; Sun Dec 22 2019
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage Preliminary ; 24087 ; Mon Dec 16 2019
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage League ; 24036 ; Sun Dec 15 2019
VI ; All 2018 & 2019 Decks ; 167 ; Monthly Unsanctioned - December @ Knight Ware ; 24164 ; Sun Dec 15 2019
VI ; All 2018 & 2019 Decks ; 167 ; Vintage Chile XV - Ogrodnik Palace 12th ; 24163 ; Sat Dec 14 2019
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage Format Playoff ; 24013 ; Tue Dec 10 2019
VI ; All 2018 & 2019 Decks ; 167 ; MTGO Vintage League ; 24023 ; Tue Dec 10 2019
PI ; All 2020 Decks ; 202 ; MTGO Pioneer League ; 25694 ; Thu May 14 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer Preliminary ; 25702 ; Wed May 13 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer League ; 25670 ; Mon May 11 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer Challenge ; 25686 ; Mon May 11 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer League ; 25611 ; Thu May 07 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer Super Qualifier ; 25623 ; Thu May 07 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer League ; 25568 ; Mon May 04 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer Challenge ; 25570 ; Mon May 04 2020
PI ; All 2020 Decks ; 202 ; Lotus Box League Season 1: 1K @ Team Lotus Box ; 25582 ; Sun May 03 2020
PI ; All 2020 Decks ; 202 ; MTGO Pioneer League ; 25496 ; Thu Apr 30 2020
EDH ; All 2015 Decks ; 99 ; Snitch' B-day the end of the season (Moscow, Russia) ; 11208 ; Sun Dec 27 2015
EDH ; All 2015 Decks ; 99 ; Bohemia DC Tournament (Hradec Kr�lov�) ; 11226 ; Sun Dec 27 2015
EDH ; All 2015 Decks ; 99 ; 2015 Christmas Party (Philippines) ; 11235 ; Sun Dec 27 2015
EDH ; All 2015 Decks ; 99 ; FFH Holiday Tournament Series ; 11145 ; Sun Dec 20 2015
EDH ; All 2015 Decks ; 99 ; Liga Generalov Oseni 2.0 (Moscow, Russia) ; 11149 ; Sun Dec 20 2015
EDH ; All 2015 Decks ; 99 ; Christmas Tournament Gobl'Ain (Ain, France) ; 11301 ; Sun Dec 20 2015
EDH ; All 2015 Decks ; 99 ; Officious Dutch Duel Commander Nationals ; 11141 ; Sat Dec 19 2015
EDH ; All 2015 Decks ; 99 ; Link Super  Challenge 9 EDH (N�mes) ; 11207 ; Sat Dec 19 2015
EDH ; All 2015 Decks ; 99 ; Shanghai Commander Master ; 11104 ; Sun Dec 13 2015
EDH ; All 2015 Decks ; 99 ; Third Moscow Open (Moscow, Russia) ; 11118 ; Sun Dec 13 2015
PI ; All 2019 Decks ; 201 ; MTGO Pioneer League ; 24157 ; Mon Dec 30 2019
PI ; All 2019 Decks ; 201 ; Win a DCI Monastery Mentor Rumble @ Hareruya (Japan) ; 24170 ; Mon Dec 30 2019
PI ; All 2019 Decks ; 201 ; Reclaim the Throne @ Hareruya (Japan) ; 24213 ; Mon Dec 30 2019
PI ; All 2019 Decks ; 201 ; 3rd Anniversary - Full power Team Event @ Hareruya (Osaka, Japan) ; 24248 ; Mon Dec 30 2019
PI ; All 2019 Decks ; 201 ; MTGO Pioneer Preliminary ; 24148 ; Sat Dec 28 2019
PI ; All 2019 Decks ; 201 ; Hunt the Elk @ Free Soul (Ferrara, Italy) ; 24153 ; Sat Dec 28 2019
PI ; All 2019 Decks ; 201 ; SML Open 5 @ W.T.F (Shanghai, China) ; 24154 ; Sat Dec 28 2019
PI ; All 2019 Decks ; 201 ; God of Pioneer Trial @ Hareruya (Japan) ; 24160 ; Sat Dec 28 2019
PI ; All 2019 Decks ; 201 ; MKM Trial @ Bertils Spielwiese (Dillingen a.d. Donau,Germany) ; 24168 ; Sat Dec 28 2019
PI ; All 2019 Decks ; 201 ; MTGO Pioneer Preliminary ; 24143 ; Fri Dec 27 2019
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25684 ; Sun May 10 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25566 ; Sun May 03 2020
VI ; Last 4 Months ; 71 ; Vintage Quarantine Bonanza ; 25592 ; Sat May 02 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25449 ; Sun Apr 26 2020
VI ; Last 4 Months ; 71 ; Hacks FNM @ Charlotte, NC ; 25407 ; Fri Apr 24 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25314 ; Sun Apr 19 2020
VI ; Last 4 Months ; 71 ; Weekly Online 1 ; 25470 ; Sat Apr 18 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25180 ; Sun Apr 12 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage League ; 25182 ; Sun Apr 12 2020
VI ; Last 4 Months ; 71 ; MTGO Vintage Challenge ; 25121 ; Sun Apr 05 2020
EDH ; Last 3 Months ; 121 ; Commander League S1 Bronze ; 25697 ; Fri May 15 2020
EDH ; Last 3 Months ; 121 ; Commander League S1 Gold ; 25698 ; Fri May 15 2020
EDH ; Last 3 Months ; 121 ; Commander League S1 Silver ; 25699 ; Fri May 15 2020
EDH ; Last 3 Months ; 121 ; 3rd Xmage Quarantine League @ Leipzig ; 25696 ; Thu May 14 2020
EDH ; Last 3 Months ; 121 ; Event Cockatrice #5 @ France ; 25695 ; Wed May 13 2020
EDH ; Last 3 Months ; 121 ; Event Cockatrice #4 @ France ; 25622 ; Fri May 08 2020
EDH ; Last 3 Months ; 121 ; NanJing Chicken-Pie Cup @ Fanyun Store (NanJing, China) ; 25541 ; Sat May 02 2020
EDH ; Last 3 Months ; 121 ; 2nd Xmage Quarantine League @ Leipzig ; 25418 ; Sun Apr 26 2020
EDH ; Last 3 Months ; 121 ; 101st "New Year Cake" Cup @ Shanghai (China) ; 25437 ; Sat Apr 25 2020
EDH ; Last 3 Months ; 121 ; Combat COVID-19 Boredom FNM #6 @ Online ; 25450 ; Fri Apr 24 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer League ; 25694 ; Thu May 14 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer Preliminary ; 25702 ; Wed May 13 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer League ; 25670 ; Mon May 11 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer Challenge ; 25686 ; Mon May 11 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer League ; 25611 ; Thu May 07 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer Super Qualifier ; 25623 ; Thu May 07 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer League ; 25568 ; Mon May 04 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer Challenge ; 25570 ; Mon May 04 2020
PI ; All Pioneer Decks ; 191 ; Lotus Box League Season 1: 1K @ Team Lotus Box ; 25582 ; Sun May 03 2020
PI ; All Pioneer Decks ; 191 ; MTGO Pioneer League ; 25496 ; Thu Apr 30 2020
EDH ; All 2016 Decks ; 122 ; Tournoi d'hiver (FJEP Saint-Venant) ; 14362 ; Fri Dec 30 2016
EDH ; All 2016 Decks ; 122 ; La Bulle � Jeux (Nice, France) ; 14327 ; Thu Dec 22 2016
EDH ; All 2016 Decks ; 122 ; Torneo natalizio Duel French ; 14343 ; Thu Dec 22 2016
EDH ; All 2016 Decks ; 122 ; Christmas Tournament Gobl'Ain (Ain, France) ; 14394 ; Sun Dec 18 2016
EDH ; All 2016 Decks ; 122 ; DC Llevelwin ; 14314 ; Sat Dec 17 2016
EDH ; All 2016 Decks ; 122 ; Liga DC Comando Games ; 14321 ; Sat Dec 17 2016
EDH ; All 2016 Decks ; 122 ; Jsst (Nice) Tournoi Mensuel ; 14276 ; Fri Dec 16 2016
EDH ; All 2016 Decks ; 122 ; Duel Commander les Gobs ; 14313 ; Thu Dec 15 2016
EDH ; All 2016 Decks ; 122 ; Duel Commander Philippines 2016 Year End Tournament ; 14225 ; Sun Dec 11 2016
EDH ; All 2016 Decks ; 122 ; ZAP Palaiseau Decembre ; 14242 ; Sun Dec 11 2016
EDH ; Last Notables Events (4 Months) ; 130 ; Spring Russia Online#1 ; 25413 ; Wed Apr 22 2020
EDH ; Last Notables Events (4 Months) ; 130 ; Tournoi Cockatrice #3 @ France ; 25436 ; Wed Apr 22 2020
EDH ; Last Notables Events (4 Months) ; 130 ; DCM April 2020 @ XMage ; 25474 ; Sun Apr 05 2020
EDH ; Last Notables Events (4 Months) ; 130 ; Combat COVID-19 Boredom FNM #2 @ Online ; 25068 ; Fri Mar 27 2020
EDH ; Last Notables Events (4 Months) ; 130 ; Trial Master Zap @ La table des jeux (Quimper) ; 25095 ; Sun Mar 08 2020
EDH ; Last Notables Events (4 Months) ; 130 ; 12th prague duel commander @ Prague (Czech Republic) ; 24930 ; Sat Mar 07 2020
EDH ; Last Notables Events (4 Months) ; 130 ; FNM Hiveworld @ Cologne (Germany) ; 24883 ; Fri Mar 06 2020
EDH ; Last Notables Events (4 Months) ; 130 ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; 24875 ; Sun Mar 01 2020
EDH ; Last Notables Events (4 Months) ; 130 ; DCT @ GameZone (Lima, Peru) ; 24825 ; Sat Feb 29 2020
EDH ; Last Notables Events (4 Months) ; 130 ; Battle for Duals @ Tapped games (Marikina City, Philippines) ; 24856 ; Sat Feb 29 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer League ; 25694 ; Thu May 14 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer Preliminary ; 25702 ; Wed May 13 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer League ; 25670 ; Mon May 11 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer Challenge ; 25686 ; Mon May 11 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer League ; 25611 ; Thu May 07 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer Super Qualifier ; 25623 ; Thu May 07 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer League ; 25568 ; Mon May 04 2020
PI ; Last 2 Weeks ; 194 ; MTGO Pioneer Challenge ; 25570 ; Mon May 04 2020
EDH ; All 2017 Decks ; 146 ; Duel Commander Philippines 2017 Year End Tournament ; 17973 ; Sun Dec 17 2017
EDH ; All 2017 Decks ; 146 ; FNM Hiveworld Cologne ; 17855 ; Fri Dec 15 2017
EDH ; All 2017 Decks ; 146 ; Tournoi de No�l - Without top 1+ % (St Nazaire, France) ; 17941 ; Fri Dec 15 2017
EDH ; All 2017 Decks ; 146 ; Magic Player - Monthly Duel ; 17814 ; Sun Dec 10 2017
EDH ; All 2017 Decks ; 146 ; Carta'Jeu Monthly DC ; 17828 ; Sun Dec 10 2017
EDH ; All 2017 Decks ; 146 ; PaPi Cup 2.0 - Baguio Duel Commander Invitational ; 17806 ; Sat Dec 09 2017
EDH ; All 2017 Decks ; 146 ; FNM Hiveworld Cologne ; 17813 ; Fri Dec 08 2017
EDH ; All 2017 Decks ; 146 ; Tournoi des ZAPS (D�cembre) ; 17776 ; Sun Dec 03 2017
EDH ; All 2017 Decks ; 146 ; DC League Season 2 ; 17723 ; Sat Dec 02 2017
EDH ; All 2017 Decks ; 146 ; Bohemia MTG Commanders Hradec Kralove ; 17743 ; Sat Dec 02 2017
EDH ; All 2014 Decks ; 129 ; SuperGames INC's Winter French EDH (Atlanta, GA) ; 8851 ; Mon Dec 29 2014
EDH ; All 2014 Decks ; 129 ; Coupe Commander Nord (Lille) ; 9044 ; Sun Dec 28 2014
EDH ; All 2014 Decks ; 129 ; MKM Commander Tournament (Hradec Kralove, Czech republic) ; 8852 ; Sat Dec 27 2014
EDH ; All 2014 Decks ; 129 ; 2014 Christmas Party (Philippines) ; 8863 ; Sat Dec 27 2014
EDH ; All 2014 Decks ; 129 ; War of Titans by Labirinto #2 (Bollate, Italy) ; 8704 ; Sat Dec 13 2014
EDH ; All 2014 Decks ; 129 ; Southern Bivouac (Philippines) ; 8813 ; Sat Dec 13 2014
EDH ; All 2014 Decks ; 129 ; Southern Bivouac - Sudden Death (Philippines) ; 8814 ; Sat Dec 13 2014
EDH ; All 2014 Decks ; 129 ; Second Commander Open (Moscow, Russia) ; 8702 ; Sun Dec 07 2014
EDH ; All 2014 Decks ; 129 ; Commander (Libourne) ; 8666 ; Sun Nov 30 2014
EDH ; All 2014 Decks ; 129 ; 16th "New Year Cake" Cup (Shanghai) ; 8673 ; Sun Nov 30 2014
EDH ; All 2019 Decks ; 181 ; DCM Dec 2019 @ XMage ; 24151 ; Sun Dec 29 2019
EDH ; All 2019 Decks ; 181 ; Dankesch�n Event @ Hiveworld (Cologne) ; 24173 ; Sat Dec 28 2019
EDH ; All 2019 Decks ; 181 ; 95th "New Year Cake" Cup @ Shanghai (China) ; 24191 ; Sat Dec 28 2019
EDH ; All 2019 Decks ; 181 ; FNM  @ Hiveworld Cologne ; 24197 ; Fri Dec 27 2019
EDH ; All 2019 Decks ; 181 ; League 10 finals @ Volgo Games ; 24167 ; Sun Dec 22 2019
EDH ; All 2019 Decks ; 181 ; Saturday Duel Commander @ Fulcrum ESports (Philippines) ; 24103 ; Sat Dec 21 2019
EDH ; All 2019 Decks ; 181 ; FNM Hiveworld @ Cologne (Germany) ; 24119 ; Fri Dec 20 2019
EDH ; All 2019 Decks ; 181 ; Card Battle 2 @ Orsay (France) ; 24040 ; Sun Dec 15 2019
EDH ; All 2019 Decks ; 181 ; EDH de No�l Gobl'Ain @ Amb�rieu-en-Bugey (France) ; 24094 ; Sun Dec 15 2019
EDH ; All 2019 Decks ; 181 ; Nexus Duel Commander de Noel @ Muret (France) ; 24098 ; Sun Dec 15 2019
EDH ; Major Events ; 196 ; Spring Russia Online#1 ; 25413 ; Wed Apr 22 2020
EDH ; Major Events ; 196 ; 12th prague duel commander @ Prague (Czech Republic) ; 24930 ; Sat Mar 07 2020
EDH ; Major Events ; 196 ; Nexus Duel Commander - #1 @ Portet sur Garonne (France) ; 24875 ; Sun Mar 01 2020
EDH ; Major Events ; 196 ; [DC] Saint-Nazaire 2020 @ Saint-Nazaire ; 24855 ; Sun Feb 23 2020
EDH ; Major Events ; 196 ; [DDL] 3rd German DC Event @ Darmstadt, Germany ; 24661 ; Sun Feb 16 2020
EDH ; Major Events ; 196 ; Zap F�vrier @ Palaiseau ; 24699 ; Sun Feb 16 2020
EDH ; Major Events ; 196 ; Winter Commander @ Biblioteka (Volgograd, Russia) ; 24509 ; Sat Feb 01 2020
EDH ; Major Events ; 196 ; Zap Janvier @ Palaiseau (France) ; 24342 ; Sun Jan 12 2020
EDH ; Major Events ; 196 ; Year-Starter Special @ Roll Play Game Lounge (Mandaluyong, Philippines) ; 24217 ; Sat Jan 04 2020
EDH ; Major Events ; 196 ; ZAP Monthly @ Palaiseau  ; 23983 ; Sun Dec 08 2019
EDH ; All 2018 Decks ; 166 ; Volgograd DC daily 7 @ Volgo Games ; 20858 ; Fri Dec 28 2018
EDH ; All 2018 Decks ; 166 ; Volgograd DC daily 6 @ Volgo Games ; 20812 ; Sun Dec 23 2018
EDH ; All 2018 Decks ; 166 ; Trial Trole de Zap @ Ch�teauroux ; 20823 ; Sat Dec 22 2018
EDH ; All 2018 Decks ; 166 ; Volgograd DC daily 5 @ Volgo Games ; 20810 ; Fri Dec 21 2018
EDH ; All 2018 Decks ; 166 ; Carta'Jeu DC - FNM DEC @ Lyon Carta'Jeu ; 20857 ; Fri Dec 21 2018
EDH ; All 2018 Decks ; 166 ; DCM Dec 2018 ; 20793 ; Wed Dec 19 2018
EDH ; All 2018 Decks ; 166 ; Zaps @ Palaiseau ; 20798 ; Sun Dec 16 2018
EDH ; All 2018 Decks ; 166 ; Trial ZAP janvier (HA) @ Amiens ; 20770 ; Sat Dec 15 2018
EDH ; All 2018 Decks ; 166 ; EDH No�l Gob'l'Ain  @ Amb�rieu-en-Bugey ; 20792 ; Sat Dec 15 2018
EDH ; All 2018 Decks ; 166 ; Snow-Covered Cup 2018 @Moscow ; 20733 ; Sun Dec 09 2018
EDH ; All Commander decks ; 56 ; Commander League S1 Bronze ; 25697 ; Fri May 15 2020
EDH ; All Commander decks ; 56 ; Commander League S1 Gold ; 25698 ; Fri May 15 2020
EDH ; All Commander decks ; 56 ; Commander League S1 Silver ; 25699 ; Fri May 15 2020
EDH ; All Commander decks ; 56 ; 3rd Xmage Quarantine League @ Leipzig ; 25696 ; Thu May 14 2020
EDH ; All Commander decks ; 56 ; Event Cockatrice #5 @ France ; 25695 ; Wed May 13 2020
EDH ; All Commander decks ; 56 ; Event Cockatrice #4 @ France ; 25622 ; Fri May 08 2020
EDH ; All Commander decks ; 56 ; NanJing Chicken-Pie Cup @ Fanyun Store (NanJing, China) ; 25541 ; Sat May 02 2020
EDH ; All Commander decks ; 56 ; 2nd Xmage Quarantine League @ Leipzig ; 25418 ; Sun Apr 26 2020
EDH ; All Commander decks ; 56 ; 101st "New Year Cake" Cup @ Shanghai (China) ; 25437 ; Sat Apr 25 2020
